단축코드,한글명,그룹코드,시장
042670,HD현대인프라코어,ST,코스피
042700,한미반도체,ST,코스피
044380,주연테크,ST,코스피
044450,KSS해운,ST,코스피
044820,코스맥스비티아이,ST,코스피
047040,대우건설,ST,코스피
047050,포스코인터내셔널,ST,코스피
047400,유니온머티리얼,ST,코스피
047810,한국항공우주,ST,코스피
049770,동원F&B,ST,코스피
049800,우진플라임,ST,코스피
051600,한전KPS,ST,코스피
051630,진양화학,ST,코스피
051900,LG생활건강,ST,코스피
051905,LG생활건강우,ST,코스피
051910,LG화학,ST,코스피
051915,LG화학우,ST,코스피
052690,한전기술,ST,코스피
053210,스카이라이프,ST,코스피
053690,한미글로벌,ST,코스피
055490,테이팩스,ST,코스피
055550,신한지주,ST,코스피
057050,현대홈쇼핑,ST,코스피
058430,포스코스틸리온,ST,코스피
058650,세아홀딩스,ST,코스피
058730,다스코,ST,코스피
058850,KTcs,ST,코스피
058860,KTis,ST,코스피
060980,HL홀딩스,ST,코스피
063160,종근당바이오,ST,코스피
064350,현대로템,ST,코스피
064960,SNT모티브,ST,코스피
066570,LG전자,ST,코스피
066575,LG전자우,ST,코스피
066970,엘앤에프,ST,코스피
067830,세이브존I&C,ST,코스피
068270,셀트리온,ST,코스피
068290,삼성출판사,ST,코스피
069260,TKG휴켐스,ST,코스피
069460,대호에이엘,ST,코스피
069500,KODEX 200,EF,코스피
069620,대웅제약,ST,코스피
069640,한세엠케이,ST,코스피
069660,KOSEF 200,EF,코스피
069730,DSR제강,ST,코스피
069960,현대백화점,ST,코스피
070960,용평리조트,ST,코스피
071050,한국금융지주,ST,코스피
071055,한국금융지주우,ST,코스피
071090,하이스틸,ST,코스피
071320,지역난방공사,ST,코스피
071840,롯데하이마트,ST,코스피
071950,코아스,ST,코스피
071970,STX중공업,ST,코스피
072130,유엔젤,ST,코스피
072710,농심홀딩스,ST,코스피
073240,금호타이어,ST,코스피
074610,이엔플러스,ST,코스피
075180,새론오토모티브,ST,코스피
075580,세진중공업,ST,코스피
077500,유니퀘스트,ST,코스피
077970,STX엔진,ST,코스피
078000,텔코웨어,ST,코스피
078520,에이블씨엔씨,ST,코스피
078930,GS,ST,코스피
078935,GS우,ST,코스피
079160,CJ CGV,ST,코스피
079430,현대리바트,ST,코스피
079550,LIG넥스원,ST,코스피
079980,휴비스,ST,코스피
081000,일진다이아,ST,코스피
081660,휠라홀딩스,ST,코스피
082640,동양생명,ST,코스피
082740,HSD엔진,ST,코스피
083420,그린케미칼,ST,코스피
084010,대한제강,ST,코스피
